LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
24h         Normal    Killing                        pod/delivery-service-69c9fd7578-4qztf          Stopping container delivery-service
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    (combined from similar events): Scaled down replica set delivery-service-69c9fd7578 from 1 to 0
24h         Normal    SuccessfulDelete               replicaset/delivery-service-69c9fd7578         Deleted pod: delivery-service-69c9fd7578-4qztf
23h         Normal    SuccessfulCreate               replicaset/delivery-service-5c9dfd4b97         Created pod: delivery-service-5c9dfd4b97-hlxft
23h         Normal    SuccessfulCreate               replicaset/delivery-service-5c9dfd4b97         Created pod: delivery-service-5c9dfd4b97-9h2tj
23h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-5c9dfd4b97 from 2 to 4
23h         Normal    Created                        pod/delivery-service-5c9dfd4b97-9h2tj          Created container: delivery-service
23h         Normal    Created                        pod/delivery-service-5c9dfd4b97-hlxft          Created container: delivery-service
23h         Normal    Started                        pod/delivery-service-5c9dfd4b97-9h2tj          Started container delivery-service
23h         Normal    Started                        pod/delivery-service-5c9dfd4b97-hlxft          Started container delivery-service
23h         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-9h2tj          Container image "im/delivery-service:latest" already present on machine
23h         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-hlxft          Container image "im/delivery-service:latest" already present on machine
23h         Warning   FailedGetResourceMetric        horizontalpodautoscaler/delivery-service-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
23h         Warning   FailedGetResourceMetric        horizontalpodautoscaler/api-gateway-hpa        failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
58m         Normal    SandboxChanged                 pod/api-gateway-6fb497d6b-mh297                Pod sandbox changed, it will be killed and re-created.
58m         Normal    SandboxChanged                 pod/delivery-service-5c9dfd4b97-9h2tj          Pod sandbox changed, it will be killed and re-created.
58m         Normal    SandboxChanged                 pod/delivery-service-5c9dfd4b97-hlxft          Pod sandbox changed, it will be killed and re-created.
58m         Normal    SandboxChanged                 pod/delivery-service-5c9dfd4b97-zmh2k          Pod sandbox changed, it will be killed and re-created.
58m         Normal    SandboxChanged                 pod/delivery-service-5c9dfd4b97-rl259          Pod sandbox changed, it will be killed and re-created.
58m         Normal    SandboxChanged                 pod/api-gateway-6fb497d6b-nhgbn                Pod sandbox changed, it will be killed and re-created.
58m         Normal    Created                        pod/api-gateway-6fb497d6b-mh297                Created container: api-gateway
58m         Normal    Started                        pod/api-gateway-6fb497d6b-nhgbn                Started container api-gateway
58m         Normal    Pulled                         pod/api-gateway-6fb497d6b-mh297                Container image "im/api-gateway:latest" already present on machine
58m         Normal    Created                        pod/api-gateway-6fb497d6b-nhgbn                Created container: api-gateway
58m         Normal    Pulled                         pod/api-gateway-6fb497d6b-nhgbn                Container image "im/api-gateway:latest" already present on machine
58m         Normal    Started                        pod/api-gateway-6fb497d6b-mh297                Started container api-gateway
58m         Warning   BackOff                        pod/delivery-service-5c9dfd4b97-hlxft          Back-off restarting failed container delivery-service in pod delivery-service-5c9dfd4b97-hlxft_im(5c168816-be37-439b-91b7-cc535a33555f)
58m         Warning   BackOff                        pod/delivery-service-5c9dfd4b97-zmh2k          Back-off restarting failed container delivery-service in pod delivery-service-5c9dfd4b97-zmh2k_im(c39078e6-c698-4c4b-b8bc-0c910ca8f33f)
58m         Warning   BackOff                        pod/delivery-service-5c9dfd4b97-rl259          Back-off restarting failed container delivery-service in pod delivery-service-5c9dfd4b97-rl259_im(82af4630-4da6-4761-98a5-a9ef0d4e8ba9)
57m         Warning   BackOff                        pod/delivery-service-5c9dfd4b97-9h2tj          Back-off restarting failed container delivery-service in pod delivery-service-5c9dfd4b97-9h2tj_im(ed9037e5-90d6-4ae4-94ce-26c1abaaaeb6)
57m         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-rl259          Container image "im/delivery-service:latest" already present on machine
57m         Normal    Created                        pod/delivery-service-5c9dfd4b97-rl259          Created container: delivery-service
57m         Normal    Started                        pod/delivery-service-5c9dfd4b97-rl259          Started container delivery-service
57m         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-9h2tj          Container image "im/delivery-service:latest" already present on machine
57m         Normal    Created                        pod/delivery-service-5c9dfd4b97-9h2tj          Created container: delivery-service
57m         Normal    Started                        pod/delivery-service-5c9dfd4b97-9h2tj          Started container delivery-service
57m         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-hlxft          Container image "im/delivery-service:latest" already present on machine
57m         Normal    Started                        pod/delivery-service-5c9dfd4b97-hlxft          Started container delivery-service
57m         Normal    Created                        pod/delivery-service-5c9dfd4b97-hlxft          Created container: delivery-service
57m         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-zmh2k          Container image "im/delivery-service:latest" already present on machine
57m         Normal    Created                        pod/delivery-service-5c9dfd4b97-zmh2k          Created container: delivery-service
57m         Normal    Started                        pod/delivery-service-5c9dfd4b97-zmh2k          Started container delivery-service
50m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/delivery-service-hpa   invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
50m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/api-gateway-hpa        invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
49m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/api-gateway-hpa        failed to get memory utilization: unable to get metrics for resource memory: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
49m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/delivery-service-hpa   failed to get memory utilization: unable to get metrics for resource memory: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
2m5s        Warning   FailedGetResourceMetric        horizontalpodautoscaler/delivery-service-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
2m5s        Warning   FailedGetResourceMetric        horizontalpodautoscaler/api-gateway-hpa        failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
